Date,Visiting,Home,Initial Call,Challenging Team,Result,Placeholder,Outcome,Period,Time,Link
11/2/22,SAC,MIA,Offensive Foul,SAC,Challenge,,Won,2,00:35.9,https://videos.nba.com/nba/official-replay/media/trigger16_sacmia_1_110222_approved_1280x720.mp4
11/2/22,TOR,SAS,Offensive Foul,SAS,Challenge,,Lost,2,00:42.0,https://videos.nba.com/nba/official-replay/media/trigger16_torsas_1_110222_approved_1280x720.mp4
11/2/22,UTA,DAL,Loose Ball Foul,DAL,Challenge,,Lost,2,02:50.0,https://videos.nba.com/nba/official-replay/media/trigger16_utadal_1_110222_approved_1280x720.mp4
11/3/22,GSW,ORL,Goaltending,GSW,Challenge,,Won,1,06:49.0,https://videos.nba.com/nba/official-replay/media/trigger13_gsworl_1_110322_approved_1280x720.mp4
11/3/22,GSW,ORL,Defensive Foul,ORL,Challenge,,Lost,4,01:35.0,https://videos.nba.com/nba/official-replay/media/trigger16_gsworl_1_110322_approved_1280x720.mp4
11/4/22,CLE,DET,Defensive Foul,CLE,Challenge,,Won,2,09:19.0,https://videos.nba.com/nba/official-replay/media/trigger16_cledet_1_110422_approved_1280x720.mp4
11/4/22,LAC,SAS,Defensive Foul,SAS,Challenge,,Lost,2,01:37.0,https://videos.nba.com/nba/official-replay/media/trigger16_lacsas_1_110422_approved_1280x720.mp4
11/4/22,CHI,BOS,Defensive Foul,CHI,Challenge,,Lost,3,08:58.0,https://videos.nba.com/nba/official-replay/media/trigger16_chibos_1_110422_approved_1280x720.mp4
11/4/22,LAC,SAS,Defensive Foul,LAC,Challenge,,Lost,3,01:18.0,https://videos.nba.com/nba/official-replay/media/trigger16_lacsas_2_110422_approved_1280x720.mp4
11/4/22,CHI,BOS,Defensive Foul,BOS,Challenge,,Lost,4,02:32.0,https://videos.nba.com/nba/official-replay/media/trigger16_chibos_2_110422_approved_1280x720.mp4
11/4/22,TOR,DAL,Offensive Foul,DAL,Challenge,,Lost,4,09:56.0,https://videos.nba.com/nba/official-replay/media/trigger16_tordal_1_110422_approved_1280x720.mp4
11/4/22,POR,PHX,Away Team Possession,PHX,Challenge,,Won,4,01:00.0,https://videos.nba.com/nba/official-replay/media/trigger17_porphx_1_110422_approved_1280x720.mp4
11/4/22,UTA,LAL,Goaltending,UTA,Challenge,,Won,4,06:26.0,https://videos.nba.com/nba/official-replay/media/trigger13_utalal_1_110422_approved_1280x720.mp4
11/5/22,SAC,ORL,Defensive Foul,SAC,Challenge,,Lost,3,02:34.0,https://videos.nba.com/nba/official-replay/media/trigger16_sacorl_1_110522_approved_1280x720.mp4
11/5/22,BKN,CHA,Defensive Foul,CHA,Challenge,,Won,4,09:00.0,https://videos.nba.com/nba/official-replay/media/trigger16_bkncha_1_110522_approved_1280x720.mp4
11/5/22,HOU,MIN,Defensive Foul,HOU,Challenge,,Lost,3,08:31.0,https://videos.nba.com/nba/official-replay/media/trigger16_houmin_1_110522_approved_1280x720.mp4
11/5/22,POR,PHX,Defensive Foul,PHX,Challenge,,Won,3,05:01.0,https://videos.nba.com/nba/official-replay/media/trigger16_porphx_1_110522_approved_1280x720.mp4
11/6/22,CLE,LAL,Defensive Foul,CLE,Challenge,,Won,4,08:27.0,https://videos.nba.com/nba/official-replay/media/trigger16_clelal_1_110622_approved_1280x720.mp4
11/6/22,CHI,TOR,Defensive Foul,TOR,Challenge,,Won,1,10:22.0,https://videos.nba.com/nba/official-replay/media/trigger16_chitor_1_110622_approved_1280x720.mp4
11/6/22,WAS,MEM,Defensive Foul,MEM,Challenge,,Lost,4,01:54.0,https://videos.nba.com/nba/official-replay/media/trigger16_wasmem_1_110622_approved_1280x720.mp4
11/7/22,HOU,ORL,Defensive Foul,ORL,Challenge,,Won,3,04:48.0,https://videos.nba.com/nba/official-replay/media/trigger16_houorl_1_110722_approved_1280x720.mp4
11/7/22,OKC,DET,Offensive Foul,DET,Challenge,,Won,4,01:30.0,https://videos.nba.com/nba/official-replay/media/trigger16_okcdet_1_110722_approved_1280x720.mp4
11/7/22,NOP,IND,Defensive Foul,NOP,Challenge,,Won,4,03:31.0,https://videos.nba.com/nba/official-replay/media/trigger16_nopind_1_110722_approved_1280x720.mp4
11/7/22,PHX,PHI,Defensive Foul,PHI,Challenge,,Won,4,09:38.0,https://videos.nba.com/nba/official-replay/media/trigger16_phxphi_1_110722_approved_1280x720.mp4
11/7/22,POR,MIA,Defensive Foul,POR,Challenge,,Won,4,00:11.1,https://videos.nba.com/nba/official-replay/media/trigger16_pormia_1_110722_approved_1280x720.mp4
11/7/22,TOR,CHI,Offensive Foul,TOR,Challenge,,Won,4,04:05.0,https://videos.nba.com/nba/official-replay/media/trigger16_torchi_1_110722_approved_1280x720.mp4
11/7/22,BOS,MEM,Defensive Foul,MEM,Challenge,,Lost,4,00:51.8,https://videos.nba.com/nba/official-replay/media/trigger16_bosmem_1_110722_approved_1280x720.mp4
11/7/22,NYK,MIN,Away Team Possession,MIN,Challenge,,Lost,4,03:30.0,https://videos.nba.com/nba/official-replay/media/trigger17_nykmin_1_110722_approved_1280x720.mp4
11/7/22,SAC,GSW,Defensive Foul,SAC,Challenge,,Won,4,05:07.0,https://videos.nba.com/nba/official-replay/media/trigger16_sacgsw_1_110722_approved_1280x720.mp4
